city_name,population,country_alpha3_code,alpha2_country_code,latitude,longitude
Amersfoort,126270,NLD,NL,52.1562499,5.3896944
Maastricht,122087,NLD,NL,50.8512438,5.6909768
Dordrecht,119811,NLD,NL,51.7689546,4.686789054617023
Leiden,117196,NLD,NL,52.1594747,4.4908843
Haarlemmermeer,110722,NLD,NL,52.3238421,4.715261248876009
Zoetermeer,110214,NLD,NL,52.06228915,4.487754536970652
Emmen,105853,NLD,NL,52.75286615,6.952513466208563
Zwolle,105819,NLD,NL,52.5089759,6.0943765
Ede,101574,NLD,NL,52.07168255,5.745510631034939
Delft,95268,NLD,NL,52.0114017,4.35839
Heerlen,95052,NLD,NL,50.8775239,5.981506585454879
Alkmaar,92713,NLD,NL,52.6008538,4.817099446443963
Oslo,508726,NOR,NO,59.9133301,10.7389701
Bergen,230948,NOR,NO,60.3943055,5.3259192
Trondheim,150166,NOR,NO,63.4304475,10.3952118
